Class,Name,Brand,Group,RAW SIZE,Diameter,Width,BOLT PATTERN,BOLT PATTERN #2,Centerbore,Finish,Purchase Description,Inventory Location,Location Available,Location On Order,Location On Water,China Stock,Production 2025,0-30 Days,31-90 Days,91-365 Days,0-60 days (0-2 mo),61-120 days (2-4 mo),121-180 days (4 to 6 mo),121-365 days  (4 to 12 mo),121-548 days (4 to 18 mo),121+ Days (all time),ALL Time,Average Cost,Location Average Cost,Price Level A,Price Level AC,Price Level C,Price Level D,Price Level E,Price Level H,Price Level DC-A,MAP,Purchase Price,SFTP,Profit %,On Sale,Discontinued Item,Exclude From Average Cost Update,Location Last Invoice Date,Location Last Receipt Date from PO,Location Last Receipt Date from TO,Location Last Receipt Date from RMA,Last Inventory Adjustment Date,Location Last Receipt Date (Any Type),Location First PO Date,Location First Receipt Date from PO (1st Time Entered Warehouse - Originating From a PO),Location First Receipt Date from TO,Location PO Count,Type
Wheel,ENK-419222X906139.7-24GB,Enkei,BBS-CH-R,22,22,9,6x139.7,,106.1,Bronze,Enkei BBS-CH-R 22x9,"Atlanta, GA",29,0,0,196,0,0,0,0,0,0,0,0,0,0,2,67.99,63.51,Retail,105.66,95.6,90.57,85.54,80.5,75.47,85.54,74.79,102.64,32.44,No,No,,12/18/2025,4/23/2025,,,,4/23/2025,5/6/2024,9/24/2024,1/20/2025,6,Inventory Item
Wheel,WOR-959528X905114.3-12NC,Work,TSW-Nurburgring,28,28,9,5x114.3,,114.3,Flat Black,Work TSW-Nurburgring 28x9,"Dallas, TX",7,0,0,0,0,22,37,156,85,72,48,47,22,129,541,57.99,53.66,Retail,80.99,73.27,69.42,65.56,61.7,57.85,65.56,63.79,78.67,24.82,No,No,,12/4/2025,10/15/2025,,,3/24/2026,10/15/2025,10/26/2024,10/25/2024,,11,Inventory Item
Wheel,WOR-959528X905114.3-12NC,Work,TSW-Nurburgring,28,28,9,5x114.3,,114.3,Flat Black,Work TSW-Nurburgring 28x9,"Atlanta, GA",55,104,0,0,0,0,3,8,2,1,0,7,2,6,25,57.99,58.3,Retail,80.99,73.27,69.42,65.56,61.7,57.85,65.56,63.79,78.67,24.82,No,No,,12/27/2025,2/21/2026,,,,2/21/2026,8/10/2024,2/10/2025,,10,Inventory Item
Wheel,TSW-227117X806139.7TB,TSW,RYS-TE37,17,17,8,6x139.7,,87.1,Satin Black,TSW RYS-TE37 17x8,"Houston, TX",50,0,22,123,0,0,0,0,0,0,0,0,0,0,1,149.99,137.42,Retail,217.34,196.64,186.29,175.94,165.59,155.24,175.94,164.99,211.13,27.54,No,No,,11/22/2025,7/7/2025,,,,7/7/2025,6/29/2024,1/7/2025,,7,Inventory Item
Wheel,TSW-227117X806139.7TB,TSW,RYS-TE37,17,17,8,6x139.7,,87.1,Satin Black,TSW RYS-TE37 17x8,"Atlanta, GA",76,0,0,0,0,72,18,85,19,50,38,107,18,34,651,149.99,144.51,Retail,217.34,196.64,186.29,175.94,165.59,155.24,175.94,164.99,211.13,27.54,No,No,,1/22/2026,2/9/2026,5/2/2025,2/7/2026,,2/9/2026,7/31/2024,5/2/2024,2/5/2025,6,Inventory Item
Wheel,RAY-251517X1056132TB,Rays,ADV-GT,17,17,10.5,6x132,,78.1,Chrome,Rays ADV-GT 17x10.5,"Phoenix, AZ",51,0,21,0,0,65,137,110,55,77,15,41,76,97,580,246.99,241.71,Retail,407.16,368.38,348.99,329.6,310.22,290.83,329.6,271.69,395.53,36.31,No,No,,11/16/2025,9/6/2025,,,,9/6/2025,3/20/2025,8/30/2024,,15,Inventory Item
Wheel,RAY-251517X1056132TB,Rays,ADV-GT,17,17,10.5,6x132,,78.1,Chrome,Rays ADV-GT 17x10.5,"Tampa, FL",6,0,18,0,0,5,138,238,100,11,51,108,10,40,564,246.99,230.03,Retail,407.16,368.38,348.99,329.6,310.22,290.83,329.6,271.69,395.53,36.31,No,No,,12/28/2025,12/19/2025,,,,12/19/2025,8/6/2024,3/20/2025,7/13/2024,8,Inventory Item
Wheel,RAY-251517X1056132TB,Rays,ADV-GT,17,17,10.5,6x132,,78.1,Chrome,Rays ADV-GT 17x10.5,"Nashville, TN",37,0,0,0,0,9,21,69,10,12,3,16,13,14,56,246.99,243.42,Retail,407.16,368.38,348.99,329.6,310.22,290.83,329.6,271.69,395.53,36.31,No,No,,1/21/2026,11/21/2025,,,,11/21/2025,12/7/2024,3/3/2025,,1,Inventory Item
Wheel,VOS-364624X1205127-18MB,Vossen,HRE-501,24,24,12,5x127,,110.1,Silver Machined,Vossen HRE-501 24x12,"Phoenix, AZ",31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,77.99,84.01,Retail,120.38,108.92,103.19,97.45,91.72,85.99,97.45,85.79,116.94,31.98,No,No,,3/9/2026,3/7/2026,,,,3/7/2026,4/6/2024,10/31/2024,,20,Inventory Item
Wheel,VOS-364624X1205127-18MB,Vossen,HRE-501,24,24,12,5x127,,110.1,Silver Machined,Vossen HRE-501 24x12,"Dallas, TX",46,0,16,44,0,41,150,157,11,21,44,96,43,120,521,77.99,71.89,Retail,120.38,108.92,103.19,97.45,91.72,85.99,97.45,85.79,116.94,31.98,No,No,,1/17/2026,10/10/2025,,,,10/10/2025,4/13/2024,6/18/2024,12/20/2024,5,Inventory Item
Wheel,VOS-364624X1205127-18MB,Vossen,HRE-501,24,24,12,5x127,,110.1,Silver Machined,Vossen HRE-501 24x12,"Orlando, FL",21,85,0,0,0,3,6,9,1,3,2,5,2,7,25,77.99,78.51,Retail,120.38,108.92,103.19,97.45,91.72,85.99,97.45,85.79,116.94,31.98,No,No,,11/17/2025,7/14/2025,,,,7/14/2025,8/12/2024,4/27/2024,,10,Inventory Item
Wheel,TSW-194520X1005114.3-12NC,TSW,WRK-Emotion,20,20,10,5x114.3,,106.1,Satin Black,TSW WRK-Emotion 20x10,"Tampa, FL",46,0,0,0,0,0,5,14,3,2,2,7,1,10,43,83.99,76.25,Retail,128.76,116.5,110.37,104.24,98.1,91.97,104.24,92.39,125.08,31.51,No,No,,3/3/2026,10/24/2025,11/11/2025,,3/12/2026,10/24/2025,7/20/2024,1/10/2025,,16,Inventory Item
Wheel,TSW-194520X1005114.3-12NC,TSW,WRK-Emotion,20,20,10,5x114.3,,106.1,Satin Black,TSW WRK-Emotion 20x10,"Charlotte, NC",28,38,0,0,0,60,119,83,95,78,49,71,37,132,712,83.99,77.49,Retail,128.76,116.5,110.37,104.24,98.1,91.97,104.24,92.39,125.08,31.51,No,No,,2/25/2026,3/14/2026,,,,3/14/2026,9/3/2024,11/4/2024,,13,Inventory Item
Wheel,KON-574720X1405114.3-24GB,Konig,ROT-BLQ,20,20,14,5x114.3,,74.1,Gloss Black,Konig ROT-BLQ 20x14,"Dallas, TX",0,42,0,0,0,36,122,204,97,56,20,111,11,33,542,70.99,71.45,Retail,103.61,93.75,88.81,83.88,78.94,74.01,83.88,78.09,100.65,28.06,No,Yes,,11/17/2025,4/24/2025,,,,4/24/2025,7/17/2024,1/18/2025,,10,Inventory Item
Wheel,KON-574720X1405114.3-24GB,Konig,ROT-BLQ,20,20,14,5x114.3,,74.1,Gloss Black,Konig ROT-BLQ 20x14,"Atlanta, GA",14,0,57,0,0,0,2,2,1,3,2,7,5,0,36,70.99,65.73,Retail,103.61,93.75,88.81,83.88,78.94,74.01,83.88,78.09,100.65,28.06,No,Yes,,12/27/2025,9/19/2025,10/7/2025,,,9/19/2025,3/22/2025,2/25/2025,,9,Inventory Item
Wheel,ADV-966718X1055120SB,Advan,KNG-500,18,18,10.5,5x120,,114.3,Flat Black,Advan KNG-500 18x10.5,"Orlando, FL",8,0,0,155,0,22,68,283,99,59,50,46,79,40,386,219.99,213.2,Retail,334.94,303.04,287.09,271.14,255.19,239.24,271.14,241.99,325.37,31.04,No,No,Yes,1/2/2026,6/23/2025,,1/3/2026,,6/23/2025,2/10/2025,11/27/2024,,6,Inventory Item
Wheel,ADV-966718X1055120SB,Advan,KNG-500,18,18,10.5,5x120,,114.3,Flat Black,Advan KNG-500 18x10.5,"Atlanta, GA",64,0,0,0,78,67,128,280,22,44,13,89,25,34,660,219.99,238.92,Retail,334.94,303.04,287.09,271.14,255.19,239.24,271.14,241.99,325.37,31.04,No,No,,2/3/2026,7/14/2025,,3/6/2026,,7/14/2025,10/8/2024,7/28/2024,,6,Inventory Item
Wheel,ADV-966718X1055120SB,Advan,KNG-500,18,18,10.5,5x120,,114.3,Flat Black,Advan KNG-500 18x10.5,"Nashville, TN",37,0,13,0,0,3,14,15,15,17,5,6,13,50,133,219.99,198.79,Retail,334.94,303.04,287.09,271.14,255.19,239.24,271.14,241.99,325.37,31.04,No,No,,11/24/2025,5/19/2025,,,,5/19/2025,8/1/2024,11/9/2024,12/28/2024,20,Inventory Item
Wheel,WOR-453618X805108TB,Work,TSW-Nurburgring,18,18,8,5x108,,114.3,Gloss Black,Work TSW-Nurburgring 18x8,"Tampa, FL",29,0,0,0,0,1,3,2,3,3,2,3,3,3,37,203.99,189.66,Retail,297.73,269.37,255.2,241.02,226.84,212.66,241.02,224.39,289.22,28.06,No,No,,2/1/2026,1/11/2026,,,11/11/2025,1/11/2026,11/22/2024,9/29/2024,3/24/2025,18,Inventory Item
Wheel,WOR-453618X805108TB,Work,TSW-Nurburgring,18,18,8,5x108,,114.3,Gloss Black,Work TSW-Nurburgring 18x8,"Nashville, TN",16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,203.99,189.27,Retail,297.73,269.37,255.2,241.02,226.84,212.66,241.02,224.39,289.22,28.06,No,No,,3/22/2026,9/3/2025,,,,9/3/2025,3/11/2025,7/6/2024,2/11/2025,15,Inventory Item
Wheel,WOR-453618X805108TB,Work,TSW-Nurburgring,18,18,8,5x108,,114.3,Gloss Black,Work TSW-Nurburgring 18x8,"Phoenix, AZ",21,0,0,158,0,3,3,10,0,1,2,4,4,9,37,203.99,223.86,Retail,297.73,269.37,255.2,241.02,226.84,212.66,241.02,224.39,289.22,28.06,No,No,Yes,1/16/2026,1/14/2026,,,,1/14/2026,3/15/2025,5/9/2024,11/29/2024,1,Inventory Item
Wheel,WOR-453618X805108TB,Work,TSW-Nurburgring,18,18,8,5x108,,114.3,Gloss Black,Work TSW-Nurburgring 18x8,"Houston, TX",15,54,0,0,0,33,29,109,22,54,16,115,12,36,542,203.99,201.86,Retail,297.73,269.37,255.2,241.02,226.84,212.66,241.02,224.39,289.22,28.06,No,No,,10/10/2025,2/6/2026,,,11/21/2025,2/6/2026,6/2/2024,9/12/2024,,1,Inventory Item
Wheel,WOR-219518X808165.1-24GB,Work,ROT-BLQ,18,18,8,8x165.1,,72.6,Satin Black,Work ROT-BLQ 18x8,"Phoenix, AZ",80,0,0,0,0,49,36,114,10,62,32,78,22,70,375,41.99,44.63,Retail,70.1,63.42,60.08,56.75,53.41,50.07,56.75,46.19,68.1,37.1,No,No,,2/20/2026,3/8/2026,2/9/2026,,,3/8/2026,3/5/2025,8/22/2024,,18,Inventory Item
Wheel,WOR-219518X808165.1-24GB,Work,ROT-BLQ,18,18,8,8x165.1,,72.6,Satin Black,Work ROT-BLQ 18x8,"Houston, TX",35,0,42,0,0,49,77,70,89,79,26,105,26,191,530,41.99,45.16,Retail,70.1,63.42,60.08,56.75,53.41,50.07,56.75,46.19,68.1,37.1,No,No,,12/1/2025,2/21/2026,,,,2/21/2026,4/2/2024,12/11/2024,,16,Inventory Item
Wheel,WOR-219518X808165.1-24GB,Work,ROT-BLQ,18,18,8,8x165.1,,72.6,Satin Black,Work ROT-BLQ 18x8,"Atlanta, GA",2,0,25,0,26,10,21,43,10,20,9,40,4,57,155,41.99,42.06,Retail,70.1,63.42,60.08,56.75,53.41,50.07,56.75,46.19,68.1,37.1,No,No,,10/24/2025,2/14/2026,,,,2/14/2026,9/30/2024,9/19/2024,,2,Inventory Item
Wheel,WOR-278924X905120TB,Work,RYS-TE37,24,24,9,5x120,,110.1,Bronze,Work RYS-TE37 24x9,"Atlanta, GA",75,61,0,0,0,44,57,286,20,67,45,12,68,36,264,68.99,70.88,Retail,107.94,97.66,92.52,87.38,82.24,77.1,87.38,75.89,104.86,32.89,No,No,,1/12/2026,11/22/2025,,,,11/22/2025,3/22/2025,5/15/2024,,13,Inventory Item
Wheel,WOR-278924X905120TB,Work,RYS-TE37,24,24,9,5x120,,110.1,Bronze,Work RYS-TE37 24x9,"Phoenix, AZ",79,0,22,159,0,3,36,41,6,13,13,20,26,22,96,68.99,64.96,Retail,107.94,97.66,92.52,87.38,82.24,77.1,87.38,75.89,104.86,32.89,No,No,,1/9/2026,10/20/2025,,,,10/20/2025,9/16/2024,12/8/2024,,17,Inventory Item
Wheel,TSW-963424X906135MTBR,TSW,RYS-TE37,24,24,9,6x135,6x135,78.1,Flat Black,TSW RYS-TE37 24x9,"Phoenix, AZ",15,0,0,0,0,23,71,300,82,47,45,65,64,151,399,71.99,64.83,Retail,110.37,99.85,94.6,89.34,84.09,78.83,89.34,79.19,107.21,31.51,No,Yes,Yes,3/21/2026,8/18/2025,,,,8/18/2025,2/13/2025,5/22/2024,1/10/2025,7,Inventory Item
Wheel,TSW-963424X906135MTBR,TSW,RYS-TE37,24,24,9,6x135,,78.1,Flat Black,TSW RYS-TE37 24x9,"Tampa, FL",48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71.99,78.15,Retail,110.37,99.85,94.6,89.34,84.09,78.83,89.34,79.19,107.21,31.51,No,Yes,,12/29/2025,1/20/2026,,,,1/20/2026,9/28/2024,3/3/2025,,8,Inventory Item
Wheel,WOR-742520X1205120-24GB,Work,HRE-501,20,20,12,5x120,,78.1,Gloss Black & Milled,Work HRE-501 20x12,"Atlanta, GA",32,0,21,0,0,1,3,1,0,3,0,0,3,3,20,131.99,142.69,Retail,218.97,198.11,187.69,177.26,166.83,156.41,177.26,145.19,212.71,36.71,No,No,,10/31/2025,4/17/2025,,,1/17/2026,4/17/2025,1/23/2025,12/31/2024,,11,Inventory Item
Wheel,WOR-742520X1205120-24GB,Work,HRE-501,20,20,12,5x120,,78.1,Gloss Black & Milled,Work HRE-501 20x12,"Houston, TX",21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,131.99,137.62,Retail,218.97,198.11,187.69,177.26,166.83,156.41,177.26,145.19,212.71,36.71,No,No,,1/15/2026,4/4/2025,,,,4/4/2025,8/1/2024,8/14/2024,5/16/2024,10,Inventory Item
Wheel,RAY-188617X1056135-24GB,Rays,ENK-92,17,17,10.5,6x135,,74.1,Bronze,Rays ENK-92 17x10.5,"Nashville, TN",69,0,0,0,0,47,137,245,45,65,53,53,34,53,652,211.99,214.45,Retail,302.73,273.89,259.48,245.06,230.65,216.23,245.06,233.19,294.08,26.47,Yes,No,,10/1/2025,2/9/2026,,,,2/9/2026,1/1/2025,10/25/2024,,13,Inventory Item
Wheel,RAY-188617X1056135-24GB,Rays,ENK-92,17,17,10.5,6x135,6x135,74.1,Bronze,Rays ENK-92 17x10.5,"Charlotte, NC",52,0,0,0,74,0,0,0,0,0,0,0,0,0,2,211.99,213.04,Retail,302.73,273.89,259.48,245.06,230.65,216.23,245.06,233.19,294.08,26.47,Yes,No,,2/26/2026,8/22/2025,,,,8/22/2025,10/29/2024,7/18/2024,,17,Inventory Item
Wheel,RAY-188617X1056135-24GB,Rays,ENK-92,17,17,10.5,6x135,,74.1,Bronze,Rays ENK-92 17x10.5,"Orlando, FL",38,0,0,0,0,2,5,0,4,3,0,2,0,0,31,211.99,196.44,Retail,302.73,273.89,259.48,245.06,230.65,216.23,245.06,233.19,294.08,26.47,Yes,No,,10/11/2025,1/1/2026,,,,1/1/2026,2/17/2025,11/28/2024,,8,Inventory Item
Wheel,RAY-188617X1056135-24GB,Rays,ENK-92,17,17,10.5,6x135,,74.1,Bronze,Rays ENK-92 17x10.5,"Phoenix, AZ",45,0,0,79,0,50,58,102,26,79,9,45,55,141,343,211.99,206.84,Retail,302.73,273.89,259.48,245.06,230.65,216.23,245.06,233.19,294.08,26.47,Yes,No,,12/30/2025,8/25/2025,9/20/2025,,,8/25/2025,5/18/2024,5/2/2024,3/27/2024,9,Inventory Item
Wheel,ROT-682420X1056135TB,Rotiform,WRK-Emotion,20,20,10.5,6x135,,74.1,Bronze,Rotiform WRK-Emotion 20x10.5,"Charlotte, NC",34,0,0,0,84,0,6,67,25,6,2,18,8,17,192,87.99,87.63,Retail,129.35,117.03,110.87,104.71,98.55,92.39,104.71,96.79,125.65,28.57,No,No,,1/5/2026,12/15/2025,,,,12/15/2025,4/6/2024,5/11/2024,,12,Inventory Item
Wheel,ROT-682420X1056135TB,Rotiform,WRK-Emotion,20,20,10.5,6x135,,74.1,Bronze,Rotiform WRK-Emotion 20x10.5,"Nashville, TN",50,76,0,0,0,0,7,80,20,6,12,21,5,45,166,87.99,80.38,Retail,129.35,117.03,110.87,104.71,98.55,92.39,104.71,96.79,125.65,28.57,No,No,,2/1/2026,4/21/2025,10/19/2025,11/2/2025,,4/21/2025,12/12/2024,8/8/2024,,20,Inventory Item
Wheel,WOR-300720X1056139.7-18MB,Work,ENK-92,20,20,10.5,6x139.7,6x139.7,78.1,Gloss Black & Milled,Work ENK-92 20x10.5,"Charlotte, NC",20,0,0,0,0,28,122,235,40,29,32,100,77,189,447,277.99,278.75,Retail,449.51,406.69,385.29,363.88,342.48,321.08,363.88,305.79,436.66,35.06,No,Yes,,10/29/2025,11/16/2025,,,,11/16/2025,10/24/2024,1/1/2025,8/12/2024,8,Inventory Item
Wheel,WOR-300720X1056139.7-18MB,Work,ENK-92,20,20,10.5,6x139.7,6x139.7,78.1,Gloss Black & Milled,Work ENK-92 20x10.5,"Orlando, FL",0,23,0,0,0,43,95,195,69,27,15,61,5,40,345,277.99,273.39,Retail,449.51,406.69,385.29,363.88,342.48,321.08,363.88,305.79,436.66,35.06,No,Yes,,11/24/2025,4/27/2025,7/23/2025,,,4/27/2025,4/3/2024,3/20/2025,,11,Inventory Item
Wheel,TSW-210528X906135SB,TSW,ENK-92,28,28,9,6x135,,110.1,Flat Black,TSW ENK-92 28x9,"Atlanta, GA",70,0,0,0,0,53,119,25,30,60,40,56,70,49,570,40.99,43.69,Retail,66.71,60.35,57.18,54,50.82,47.65,54,45.09,64.8,35.48,No,No,,1/12/2026,2/26/2026,,,,2/26/2026,8/22/2024,11/8/2024,,7,Inventory Item
Wheel,TSW-210528X906135SB,TSW,ENK-92,28,28,9,6x135,,110.1,Flat Black,TSW ENK-92 28x9,"Orlando, FL",9,0,0,0,59,3,10,18,21,13,6,25,24,9,140,40.99,42.61,Retail,66.71,60.35,57.18,54,50.82,47.65,54,45.09,64.8,35.48,No,No,,10/30/2025,10/11/2025,7/17/2025,,,10/11/2025,9/15/2024,1/26/2025,,17,Inventory Item
Wheel,BBS-248828X1208170-ZBRM,BBS,TSW-Nurburgring,28,28,12,8x170,,72.6,Satin Black,BBS TSW-Nurburgring 28x12,"Orlando, FL",44,35,0,0,0,48,103,107,86,44,26,41,30,23,488,70.99,68.46,Retail,110.32,99.82,94.56,89.31,84.06,78.8,89.31,78.09,107.17,32.44,No,No,,1/11/2026,11/28/2025,,1/19/2026,,11/28/2025,6/17/2024,1/17/2025,,14,Inventory Item
Wheel,BBS-248828X1208170-ZBRM,BBS,TSW-Nurburgring,28,28,12,8x170,,72.6,Satin Black,BBS TSW-Nurburgring 28x12,"Phoenix, AZ",36,45,0,0,0,0,0,0,0,0,0,0,0,0,2,70.99,67.97,Retail,110.32,99.82,94.56,89.31,84.06,78.8,89.31,78.09,107.17,32.44,No,No,,11/11/2025,4/27/2025,,,,4/27/2025,5/27/2024,2/18/2025,,18,Inventory Item
Wheel,RAY-978717X1006139.7-18MB,Rays,VSN-CVT,17,17,10,6x139.7,,72.6,Gloss Black,Rays VSN-CVT 17x10,"Tampa, FL",5,0,0,0,0,69,103,93,52,54,33,14,16,150,253,196.99,191.93,Retail,299.92,271.36,257.08,242.79,228.51,214.23,242.79,216.69,291.35,31.04,No,No,,1/12/2026,5/1/2025,,,,5/1/2025,6/23/2024,1/28/2025,,17,Inventory Item
Wheel,RAY-978717X1006139.7-18MB,Rays,VSN-CVT,17,17,10,6x139.7,,72.6,Gloss Black,Rays VSN-CVT 17x10,"Charlotte, NC",24,6,0,0,0,17,52,245,47,20,54,111,35,153,667,196.99,186.28,Retail,299.92,271.36,257.08,242.79,228.51,214.23,242.79,216.69,291.35,31.04,No,No,,1/21/2026,3/12/2026,,,,3/12/2026,11/15/2024,11/30/2024,,6,Inventory Item
Wheel,ENK-288118X1056135-12NC,Enkei,ROT-BLQ,18,18,10.5,6x135,,106.1,Gloss Black & Milled,Enkei ROT-BLQ 18x10.5,"Atlanta, GA",21,100,0,0,0,2,2,8,4,1,2,0,2,0,11,127.99,132.86,Retail,200.25,181.17,171.64,162.1,152.57,143.03,162.1,140.79,194.52,32.89,No,No,,1/6/2026,3/18/2026,,,,3/18/2026,8/24/2024,12/6/2024,,2,Inventory Item
Wheel,ENK-288118X1056135-12NC,Enkei,ROT-BLQ,18,18,10.5,6x135,,106.1,Gloss Black & Milled,Enkei ROT-BLQ 18x10.5,"Orlando, FL",43,0,0,11,0,7,29,72,11,7,6,40,15,54,185,127.99,115.94,Retail,200.25,181.17,171.64,162.1,152.57,143.03,162.1,140.79,194.52,32.89,No,No,,1/8/2026,8/14/2025,,,,8/14/2025,4/12/2024,6/22/2024,,2,Inventory Item
Wheel,ENK-288118X1056135-12NC,Enkei,ROT-BLQ,18,18,10.5,6x135,6x135,106.1,Gloss Black & Milled,Enkei ROT-BLQ 18x10.5,"Nashville, TN",36,0,0,0,0,26,42,192,84,45,17,75,25,111,676,127.99,138.94,Retail,200.25,181.17,171.64,162.1,152.57,143.03,162.1,140.79,194.52,32.89,No,No,,1/19/2026,12/29/2025,,,,12/29/2025,10/23/2024,1/9/2025,,3,Inventory Item
Wheel,ENK-288118X1056135-12NC,Enkei,ROT-BLQ,18,18,10.5,6x135,,106.1,Gloss Black & Milled,Enkei ROT-BLQ 18x10.5,"Charlotte, NC",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.99,118.58,Retail,200.25,181.17,171.64,162.1,152.57,143.03,162.1,140.79,194.52,32.89,No,No,,,9/29/2025,,,,9/29/2025,2/22/2025,10/10/2024,,6,Inventory Item
Wheel,KON-743917X1208165.1TB,Konig,BBS-CH-R,17,17,12,8x165.1,,87.1,Flat Black,Konig BBS-CH-R 17x12,"Charlotte, NC",13,0,0,0,0,2,3,0,3,0,0,0,2,6,8,161.99,177.39,Retail,229.62,207.76,196.82,185.89,174.95,164.02,185.89,178.19,223.06,25.93,No,No,,10/9/2025,10/5/2025,1/24/2026,,,10/5/2025,12/26/2024,3/27/2024,,15,Inventory Item
Wheel,KON-743917X1208165.1TB,Konig,BBS-CH-R,17,17,12,8x165.1,,87.1,Flat Black,Konig BBS-CH-R 17x12,"Phoenix, AZ",9,0,0,0,0,42,43,227,96,31,33,105,30,153,566,161.99,154.14,Retail,229.62,207.76,196.82,185.89,174.95,164.02,185.89,178.19,223.06,25.93,No,No,,1/22/2026,3/13/2026,,,,3/13/2026,4/23/2024,7/15/2024,12/31/2024,11,Inventory Item
Wheel,KON-743917X1208165.1TB,Konig,BBS-CH-R,17,17,12,8x165.1,8x165.1,87.1,Flat Black,Konig BBS-CH-R 17x12,"Orlando, FL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,161.99,149.21,Retail,229.62,207.76,196.82,185.89,174.95,164.02,185.89,178.19,223.06,25.93,No,No,,3/15/2026,3/14/2026,,,,3/14/2026,1/12/2025,6/17/2024,,1,Inventory Item
Wheel,ENK-544918X1408165.1SB,Enkei,TSW-Nurburgring,18,18,14,8x165.1,,78.1,Gunmetal,Enkei TSW-Nurburgring 18x14,"Nashville, TN",33,0,0,0,0,5,25,30,18,16,8,6,14,20,115,75.99,72.01,Retail,105.33,95.29,90.28,85.26,80.25,75.23,85.26,83.59,102.32,24.24,Yes,No,,1/18/2026,2/21/2026,,,,2/21/2026,6/9/2024,11/8/2024,,18,Inventory Item
Wheel,ENK-544918X1408165.1SB,Enkei,TSW-Nurburgring,18,18,14,8x165.1,,78.1,Gunmetal,Enkei TSW-Nurburgring 18x14,"Dallas, TX",75,49,0,0,0,17,60,240,97,26,58,19,65,155,441,75.99,70.04,Retail,105.33,95.29,90.28,85.26,80.25,75.23,85.26,83.59,102.32,24.24,Yes,No,,10/6/2025,1/21/2026,,,,1/21/2026,1/25/2025,10/12/2024,,2,Inventory Item
Wheel,TSW-402522X1205127-18MB,TSW,WRK-Emotion,22,22,12,5x127,,87.1,Bronze,TSW WRK-Emotion 22x12,"Charlotte, NC",4,0,0,0,0,51,42,267,74,20,38,17,55,180,443,259.99,283.97,Retail,431.32,390.24,369.7,349.16,328.62,308.08,349.16,285.99,419,36.71,No,No,,2/20/2026,4/29/2025,,,,4/29/2025,5/8/2024,11/23/2024,,20,Inventory Item
Wheel,TSW-402522X1205127-18MB,TSW,WRK-Emotion,22,22,12,5x127,5x127,87.1,Bronze,TSW WRK-Emotion 22x12,"Phoenix, AZ",15,0,31,0,0,28,70,173,69,49,27,76,27,128,552,259.99,260.37,Retail,431.32,390.24,369.7,349.16,328.62,308.08,349.16,285.99,419,36.71,No,No,Yes,2/14/2026,1/13/2026,,,10/9/2025,1/13/2026,5/6/2024,4/3/2024,,10,Inventory Item
Wheel,TSW-402522X1205127-18MB,TSW,WRK-Emotion,22,22,12,5x127,,87.1,Bronze,TSW WRK-Emotion 22x12,"Tampa, FL",27,0,7,0,0,28,54,117,89,57,24,95,64,115,566,259.99,266.09,Retail,431.32,390.24,369.7,349.16,328.62,308.08,349.16,285.99,419,36.71,No,No,,1/21/2026,2/11/2026,,3/21/2026,,2/11/2026,5/28/2024,8/14/2024,,2,Inventory Item
Wheel,TSW-402522X1205127-18MB,TSW,WRK-Emotion,22,22,12,5x127,,87.1,Bronze,TSW WRK-Emotion 22x12,"Orlando, FL",15,19,0,0,0,3,13,16,8,2,10,28,30,43,100,259.99,254.99,Retail,431.32,390.24,369.7,349.16,328.62,308.08,349.16,285.99,419,36.71,No,No,,10/31/2025,6/21/2025,,,,6/21/2025,10/20/2024,1/9/2025,,13,Inventory Item
Wheel,TSW-617124X1206132MTBR,TSW,ROT-BLQ,24,24,12,6x132,,74.1,Gunmetal,TSW ROT-BLQ 24x12,"Dallas, TX",50,0,0,0,0,79,137,94,92,27,50,67,18,179,516,198.99,202.77,Retail,282.07,255.21,241.78,228.34,214.91,201.48,228.34,218.89,274.01,25.93,No,No,,11/30/2025,2/23/2026,1/4/2026,,,2/23/2026,4/3/2024,10/21/2024,,10,Inventory Item
Wheel,TSW-617124X1206132MTBR,TSW,ROT-BLQ,24,24,12,6x132,,74.1,Gunmetal,TSW ROT-BLQ 24x12,"Atlanta, GA",77,0,0,0,28,59,67,300,76,68,19,20,22,120,495,198.99,203.21,Retail,282.07,255.21,241.78,228.34,214.91,201.48,228.34,218.89,274.01,25.93,No,No,,1/15/2026,8/23/2025,,,,8/23/2025,1/13/2025,7/18/2024,10/18/2024,8,Inventory Item
Wheel,TSW-617124X1206132MTBR,TSW,ROT-BLQ,24,24,12,6x132,6x132,74.1,Gunmetal,TSW ROT-BLQ 24x12,"Charlotte, NC",75,0,0,0,0,1,1,3,4,1,2,1,1,6,21,198.99,191.78,Retail,282.07,255.21,241.78,228.34,214.91,201.48,228.34,218.89,274.01,25.93,No,No,,9/28/2025,2/26/2026,,,,2/26/2026,2/16/2025,7/18/2024,,1,Inventory Item
